"Number of daily smokers - both (IHME, GHDx (2012))",Entity,Code,Year
97705,Gambia,GMB,2005
100181,Gambia,GMB,2006
102771,Gambia,GMB,2007
105402,Gambia,GMB,2008
108095,Gambia,GMB,2009
110941,Gambia,GMB,2010
114067,Gambia,GMB,2011
117453,Gambia,GMB,2012
925424,Georgia,GEO,1980
929790,Georgia,GEO,1981
932388,Georgia,GEO,1982
933678,Georgia,GEO,1983
934273,Georgia,GEO,1984
934623,Georgia,GEO,1985
935820,Georgia,GEO,1986
937580,Georgia,GEO,1987
938361,Georgia,GEO,1988
936225,Georgia,GEO,1989
929738,Georgia,GEO,1990
918690,Georgia,GEO,1991
904356,Georgia,GEO,1992
888547,Georgia,GEO,1993
874245,Georgia,GEO,1994
863561,Georgia,GEO,1995
856535,Georgia,GEO,1996
852601,Georgia,GEO,1997
850485,Georgia,GEO,1998
848029,Georgia,GEO,1999
842223,Georgia,GEO,2000
835385,Georgia,GEO,2001
828200,Georgia,GEO,2002
821534,Georgia,GEO,2003
817940,Georgia,GEO,2004
815672,Georgia,GEO,2005
814078,Georgia,GEO,2006
813810,Georgia,GEO,2007
814425,Georgia,GEO,2008
816909,Georgia,GEO,2009
819116,Georgia,GEO,2010
817853,Georgia,GEO,2011
815755,Georgia,GEO,2012
19743623,Germany,DEU,1980
19890335,Germany,DEU,1981
20050301,Germany,DEU,1982
20174504,Germany,DEU,1983
20236688,Germany,DEU,1984
20268349,Germany,DEU,1985
20300939,Germany,DEU,1986
20281856,Germany,DEU,1987
20109879,Germany,DEU,1988
19901079,Germany,DEU,1989
19498500,Germany,DEU,1990
19076382,Germany,DEU,1991
18655820,Germany,DEU,1992
18334979,Germany,DEU,1993
17921336,Germany,DEU,1994
17535172,Germany,DEU,1995
17697001,Germany,DEU,1996
17981382,Germany,DEU,1997
18092292,Germany,DEU,1998
18048379,Germany,DEU,1999
17762305,Germany,DEU,2000
17374677,Germany,DEU,2001
16989931,Germany,DEU,2002
16618063,Germany,DEU,2003
16592229,Germany,DEU,2004
16664869,Germany,DEU,2005
16614445,Germany,DEU,2006
16489354,Germany,DEU,2007
16330138,Germany,DEU,2008
16219781,Germany,DEU,2009
16082376,Germany,DEU,2010
15959462,Germany,DEU,2011
15844341,Germany,DEU,2012
290874,Ghana,GHA,1980
299179,Ghana,GHA,1981
309271,Ghana,GHA,1982
320513,Ghana,GHA,1983
332128,Ghana,GHA,1984
343639,Ghana,GHA,1985
354956,Ghana,GHA,1986
366006,Ghana,GHA,1987
376725,Ghana,GHA,1988
387549,Ghana,GHA,1989
398791,Ghana,GHA,1990
410350,Ghana,GHA,1991
422257,Ghana,GHA,1992
434689,Ghana,GHA,1993
447500,Ghana,GHA,1994
460703,Ghana,GHA,1995
474068,Ghana,GHA,1996
480343,Ghana,GHA,1997
487533,Ghana,GHA,1998
495390,Ghana,GHA,1999
503576,Ghana,GHA,2000
510823,Ghana,GHA,2001
517536,Ghana,GHA,2002
523528,Ghana,GHA,2003
522565,Ghana,GHA,2004
521837,Ghana,GHA,2005
522515,Ghana,GHA,2006
524840,Ghana,GHA,2007
533506,Ghana,GHA,2008
546913,Ghana,GHA,2009
563602,Ghana,GHA,2010
582741,Ghana,GHA,2011
603954,Ghana,GHA,2012
2770539,Greece,GRC,1980
2787353,Greece,GRC,1981
2822454,Greece,GRC,1982
2873910,Greece,GRC,1983
2927339,Greece,GRC,1984
2995424,Greece,GRC,1985
3071626,Greece,GRC,1986
3164939,Greece,GRC,1987
3233283,Greece,GRC,1988
3282860,Greece,GRC,1989
3332887,Greece,GRC,1990
3368896,Greece,GRC,1991
3401324,Greece,GRC,1992
3448001,Greece,GRC,1993
3488026,Greece,GRC,1994
3509840,Greece,GRC,1995
3524635,Greece,GRC,1996
3532833,Greece,GRC,1997
3554714,Greece,GRC,1998
3592498,Greece,GRC,1999
3625380,Greece,GRC,2000
3662629,Greece,GRC,2001
3707718,Greece,GRC,2002
3722198,Greece,GRC,2003
3730818,Greece,GRC,2004
3755221,Greece,GRC,2005
3741235,Greece,GRC,2006
3709871,Greece,GRC,2007
3665742,Greece,GRC,2008
3617641,Greece,GRC,2009
3538581,Greece,GRC,2010
3460576,Greece,GRC,2011
3374784,Greece,GRC,2012
4282,Grenada,GRD,1980
4434,Grenada,GRD,1981
4639,Grenada,GRD,1982
4864,Grenada,GRD,1983
5065,Grenada,GRD,1984
5216,Grenada,GRD,1985
5302,Grenada,GRD,1986
5341,Grenada,GRD,1987
5354,Grenada,GRD,1988
5376,Grenada,GRD,1989
5426,Grenada,GRD,1990
5512,Grenada,GRD,1991
5623,Grenada,GRD,1992
5748,Grenada,GRD,1993
5875,Grenada,GRD,1994
5990,Grenada,GRD,1995
6090,Grenada,GRD,1996
6020,Grenada,GRD,1997
5985,Grenada,GRD,1998
5989,Grenada,GRD,1999
6028,Grenada,GRD,2000
6093,Grenada,GRD,2001
6182,Grenada,GRD,2002
6293,Grenada,GRD,2003
6404,Grenada,GRD,2004
6521,Grenada,GRD,2005
6633,Grenada,GRD,2006
6749,Grenada,GRD,2007
6863,Grenada,GRD,2008
6968,Grenada,GRD,2009
7070,Grenada,GRD,2010
7162,Grenada,GRD,2011
7245,Grenada,GRD,2012
318396,Guatemala,GTM,1980
325500,Guatemala,GTM,1981
333087,Guatemala,GTM,1982
341097,Guatemala,GTM,1983
349544,Guatemala,GTM,1984
358562,Guatemala,GTM,1985
368453,Guatemala,GTM,1986
378895,Guatemala,GTM,1987
389727,Guatemala,GTM,1988
400187,Guatemala,GTM,1989
411008,Guatemala,GTM,1990
422417,Guatemala,GTM,1991
434323,Guatemala,GTM,1992
446590,Guatemala,GTM,1993
458261,Guatemala,GTM,1994
470320,Guatemala,GTM,1995
483187,Guatemala,GTM,1996
489054,Guatemala,GTM,1997
495724,Guatemala,GTM,1998
501535,Guatemala,GTM,1999
506277,Guatemala,GTM,2000
509148,Guatemala,GTM,2001
509286,Guatemala,GTM,2002
484880,Guatemala,GTM,2003
482488,Guatemala,GTM,2004
482884,Guatemala,GTM,2005
485625,Guatemala,GTM,2006
490791,Guatemala,GTM,2007
498523,Guatemala,GTM,2008
511385,Guatemala,GTM,2009
526434,Guatemala,GTM,2010
543624,Guatemala,GTM,2011
562527,Guatemala,GTM,2012
177720,Guinea,GIN,1980
179957,Guinea,GIN,1981
183042,Guinea,GIN,1982
186956,Guinea,GIN,1983
191361,Guinea,GIN,1984
195975,Guinea,GIN,1985
200611,Guinea,GIN,1986
205321,Guinea,GIN,1987
210807,Guinea,GIN,1988
217754,Guinea,GIN,1989
226631,Guinea,GIN,1990
237692,Guinea,GIN,1991
250611,Guinea,GIN,1992
264290,Guinea,GIN,1993
277165,Guinea,GIN,1994
288042,Guinea,GIN,1995
296452,Guinea,GIN,1996
300146,Guinea,GIN,1997
303460,Guinea,GIN,1998
306788,Guinea,GIN,1999
310531,Guinea,GIN,2000
314693,Guinea,GIN,2001
319362,Guinea,GIN,2002
324736,Guinea,GIN,2003
330940,Guinea,GIN,2004
338390,Guinea,GIN,2005
347151,Guinea,GIN,2006
357244,Guinea,GIN,2007
368076,Guinea,GIN,2008
379292,Guinea,GIN,2009
390739,Guinea,GIN,2010
402527,Guinea,GIN,2011
414557,Guinea,GIN,2012
35481,Guinea-Bissau,GNB,1980
35785,Guinea-Bissau,GNB,1981
36138,Guinea-Bissau,GNB,1982
36555,Guinea-Bissau,GNB,1983
36996,Guinea-Bissau,GNB,1984
37466,Guinea-Bissau,GNB,1985
37959,Guinea-Bissau,GNB,1986
38457,Guinea-Bissau,GNB,1987
38987,Guinea-Bissau,GNB,1988
39583,Guinea-Bissau,GNB,1989
40232,Guinea-Bissau,GNB,1990
40954,Guinea-Bissau,GNB,1991
41777,Guinea-Bissau,GNB,1992
42683,Guinea-Bissau,GNB,1993
43612,Guinea-Bissau,GNB,1994
44535,Guinea-Bissau,GNB,1995
45416,Guinea-Bissau,GNB,1996
45395,Guinea-Bissau,GNB,1997
45685,Guinea-Bissau,GNB,1998
46220,Guinea-Bissau,GNB,1999
46973,Guinea-Bissau,GNB,2000
47939,Guinea-Bissau,GNB,2001
49080,Guinea-Bissau,GNB,2002
50372,Guinea-Bissau,GNB,2003
51749,Guinea-Bissau,GNB,2004
53140,Guinea-Bissau,GNB,2005
54524,Guinea-Bissau,GNB,2006
55929,Guinea-Bissau,GNB,2007
57363,Guinea-Bissau,GNB,2008
58869,Guinea-Bissau,GNB,2009
60482,Guinea-Bissau,GNB,2010
62197,Guinea-Bissau,GNB,2011
64048,Guinea-Bissau,GNB,2012
51802,Guyana,GUY,1980
52757,Guyana,GUY,1981
53302,Guyana,GUY,1982
53633,Guyana,GUY,1983
53867,Guyana,GUY,1984
54188,Guyana,GUY,1985
54546,Guyana,GUY,1986
55021,Guyana,GUY,1987
55415,Guyana,GUY,1988
55613,Guyana,GUY,1989
55732,Guyana,GUY,1990
56009,Guyana,GUY,1991
56641,Guyana,GUY,1992
57497,Guyana,GUY,1993
58689,Guyana,GUY,1994
60130,Guyana,GUY,1995
62019,Guyana,GUY,1996
64082,Guyana,GUY,1997
66046,Guyana,GUY,1998
67810,Guyana,GUY,1999
69188,Guyana,GUY,2000
70123,Guyana,GUY,2001
70592,Guyana,GUY,2002
70678,Guyana,GUY,2003
70655,Guyana,GUY,2004
70642,Guyana,GUY,2005
70764,Guyana,GUY,2006
71253,Guyana,GUY,2007
71917,Guyana,GUY,2008
72800,Guyana,GUY,2009
73851,Guyana,GUY,2010
75376,Guyana,GUY,2011
77164,Guyana,GUY,2012
335472,Haiti,HTI,1980
342345,Haiti,HTI,1981
348350,Haiti,HTI,1982
354117,Haiti,HTI,1983
359942,Haiti,HTI,1984
365827,Haiti,HTI,1985
371723,Haiti,HTI,1986
377520,Haiti,HTI,1987
383610,Haiti,HTI,1988
389424,Haiti,HTI,1989
395369,Haiti,HTI,1990
401613,Haiti,HTI,1991
408623,Haiti,HTI,1992
415914,Haiti,HTI,1993
422928,Haiti,HTI,1994
431049,Haiti,HTI,1995
439627,Haiti,HTI,1996
446498,Haiti,HTI,1997
452984,Haiti,HTI,1998
459351,Haiti,HTI,1999
466078,Haiti,HTI,2000
470558,Haiti,HTI,2001
473295,Haiti,HTI,2002
474596,Haiti,HTI,2003
474540,Haiti,HTI,2004
473816,Haiti,HTI,2005
472628,Haiti,HTI,2006
469608,Haiti,HTI,2007
466866,Haiti,HTI,2008
464671,Haiti,HTI,2009
463278,Haiti,HTI,2010
464191,Haiti,HTI,2011
467615,Haiti,HTI,2012
307875,Honduras,HND,1980
313825,Honduras,HND,1981
321380,Honduras,HND,1982
330602,Honduras,HND,1983
340651,Honduras,HND,1984
350995,Honduras,HND,1985
362871,Honduras,HND,1986
374317,Honduras,HND,1987
384773,Honduras,HND,1988
393982,Honduras,HND,1989
403617,Honduras,HND,1990
412474,Honduras,HND,1991
419441,Honduras,HND,1992
425050,Honduras,HND,1993
431258,Honduras,HND,1994
436621,Honduras,HND,1995
442529,Honduras,HND,1996
447250,Honduras,HND,1997
453027,Honduras,HND,1998
460483,Honduras,HND,1999
466577,Honduras,HND,2000
472673,Honduras,HND,2001
473942,Honduras,HND,2002
476364,Honduras,HND,2003
483309,Honduras,HND,2004
490873,Honduras,HND,2005
498975,Honduras,HND,2006
507876,Honduras,HND,2007
518247,Honduras,HND,2008
531434,Honduras,HND,2009
545677,Honduras,HND,2010
560704,Honduras,HND,2011
576585,Honduras,HND,2012
2796154,Hungary,HUN,1980
2737314,Hungary,HUN,1981
2683366,Hungary,HUN,1982
2639036,Hungary,HUN,1983
2593847,Hungary,HUN,1984
2555282,Hungary,HUN,1985
2516524,Hungary,HUN,1986
2471565,Hungary,HUN,1987
2434159,Hungary,HUN,1988
2398280,Hungary,HUN,1989
2383249,Hungary,HUN,1990
2408814,Hungary,HUN,1991
2437951,Hungary,HUN,1992
2460857,Hungary,HUN,1993
2471245,Hungary,HUN,1994
2476377,Hungary,HUN,1995
2473331,Hungary,HUN,1996
2534605,Hungary,HUN,1997
2575397,Hungary,HUN,1998
2597224,Hungary,HUN,1999
2603128,Hungary,HUN,2000
2627021,Hungary,HUN,2001
2641097,Hungary,HUN,2002
2647778,Hungary,HUN,2003
2663229,Hungary,HUN,2004
2673565,Hungary,HUN,2005
2641879,Hungary,HUN,2006
2602782,Hungary,HUN,2007
2551391,Hungary,HUN,2008
2507239,Hungary,HUN,2009
2426565,Hungary,HUN,2010
2343867,Hungary,HUN,2011
2275537,Hungary,HUN,2012
61226,Iceland,ISL,1980
60991,Iceland,ISL,1981
61082,Iceland,ISL,1982
62047,Iceland,ISL,1983
62595,Iceland,ISL,1984
62958,Iceland,ISL,1985
62966,Iceland,ISL,1986
62561,Iceland,ISL,1987
62541,Iceland,ISL,1988
62157,Iceland,ISL,1989
61108,Iceland,ISL,1990
60233,Iceland,ISL,1991
59576,Iceland,ISL,1992
58657,Iceland,ISL,1993
58033,Iceland,ISL,1994
57663,Iceland,ISL,1995
57313,Iceland,ISL,1996
56444,Iceland,ISL,1997
55214,Iceland,ISL,1998
54028,Iceland,ISL,1999
52844,Iceland,ISL,2000
51860,Iceland,ISL,2001
50847,Iceland,ISL,2002
49845,Iceland,ISL,2003
48804,Iceland,ISL,2004
47987,Iceland,ISL,2005
47436,Iceland,ISL,2006
46406,Iceland,ISL,2007
44348,Iceland,ISL,2008
41448,Iceland,ISL,2009
38786,Iceland,ISL,2010
37150,Iceland,ISL,2011
36513,Iceland,ISL,2012
74536824,India,IND,1980
76586322,India,IND,1981
78646105,India,IND,1982
80717558,India,IND,1983
82795687,India,IND,1984
84846006,India,IND,1985
86886588,India,IND,1986
88876631,India,IND,1987
90788016,India,IND,1988
92644635,India,IND,1989
94432593,India,IND,1990
96179348,India,IND,1991
97910833,India,IND,1992
99639320,India,IND,1993
101118156,India,IND,1994
102594850,India,IND,1995
104168720,India,IND,1996
105391127,India,IND,1997
106896776,India,IND,1998
108494202,India,IND,1999
110164421,India,IND,2000
111820102,India,IND,2001
113285889,India,IND,2002
114451092,India,IND,2003
115012540,India,IND,2004
114865503,India,IND,2005
113829672,India,IND,2006
110917232,India,IND,2007
107891122,India,IND,2008
105587572,India,IND,2009
106101619,India,IND,2010
107702210,India,IND,2011
110190326,India,IND,2012
23578866,Indonesia,IDN,1980
24387207,Indonesia,IDN,1981
25223551,Indonesia,IDN,1982
26098739,Indonesia,IDN,1983
27013293,Indonesia,IDN,1984
27962315,Indonesia,IDN,1985
28941398,Indonesia,IDN,1986
29937326,Indonesia,IDN,1987
30938905,Indonesia,IDN,1988
31939855,Indonesia,IDN,1989
32913046,Indonesia,IDN,1990
33818669,Indonesia,IDN,1991
34631198,Indonesia,IDN,1992
35354728,Indonesia,IDN,1993
35351136,Indonesia,IDN,1994
35483642,Indonesia,IDN,1995
36287703,Indonesia,IDN,1996
37255375,Indonesia,IDN,1997
38283752,Indonesia,IDN,1998
39357906,Indonesia,IDN,1999
40437450,Indonesia,IDN,2000
41465286,Indonesia,IDN,2001
42422017,Indonesia,IDN,2002
43310582,Indonesia,IDN,2003
44133173,Indonesia,IDN,2004
44830844,Indonesia,IDN,2005
45525517,Indonesia,IDN,2006
46344889,Indonesia,IDN,2007
47372684,Indonesia,IDN,2008
48552921,Indonesia,IDN,2009
49908122,Indonesia,IDN,2010
51336886,Indonesia,IDN,2011
52712875,Indonesia,IDN,2012
2749158,Iran,IRN,1980
2829864,Iran,IRN,1981
2908128,Iran,IRN,1982
2988414,Iran,IRN,1983
3074400,Iran,IRN,1984
3167968,Iran,IRN,1985
3273498,Iran,IRN,1986
3387179,Iran,IRN,1987
3508636,Iran,IRN,1988
3624193,Iran,IRN,1989
3727357,Iran,IRN,1990
3819144,Iran,IRN,1991
3903729,Iran,IRN,1992
3987070,Iran,IRN,1993
4080164,Iran,IRN,1994
4193655,Iran,IRN,1995
4328170,Iran,IRN,1996
4447984,Iran,IRN,1997
4591270,Iran,IRN,1998
4761409,Iran,IRN,1999
4952317,Iran,IRN,2000
5165893,Iran,IRN,2001
5392688,Iran,IRN,2002
5620175,Iran,IRN,2003
5833190,Iran,IRN,2004
6021550,Iran,IRN,2005
6156916,Iran,IRN,2006
6281544,Iran,IRN,2007
6405391,Iran,IRN,2008
6535318,Iran,IRN,2009
6700447,Iran,IRN,2010
6885356,Iran,IRN,2011
7083248,Iran,IRN,2012
1295012,Iraq,IRQ,1980
1328329,Iraq,IRQ,1981
1359684,Iraq,IRQ,1982
1389441,Iraq,IRQ,1983
1417838,Iraq,IRQ,1984
1444950,Iraq,IRQ,1985
1471237,Iraq,IRQ,1986
1498230,Iraq,IRQ,1987
1529116,Iraq,IRQ,1988
1565433,Iraq,IRQ,1989
1610652,Iraq,IRQ,1990
1661960,Iraq,IRQ,1991
1722332,Iraq,IRQ,1992
1791000,Iraq,IRQ,1993
1865073,Iraq,IRQ,1994
1942833,Iraq,IRQ,1995
2026502,Iraq,IRQ,1996
2098730,Iraq,IRQ,1997
2176590,Iraq,IRQ,1998
2256602,Iraq,IRQ,1999
2334450,Iraq,IRQ,2000
2411113,Iraq,IRQ,2001
2482521,Iraq,IRQ,2002
2542699,Iraq,IRQ,2003
2574838,Iraq,IRQ,2004
2605820,Iraq,IRQ,2005
2640375,Iraq,IRQ,2006
2704780,Iraq,IRQ,2007
2779267,Iraq,IRQ,2008
2866243,Iraq,IRQ,2009
2967864,Iraq,IRQ,2010
3085341,Iraq,IRQ,2011
3216218,Iraq,IRQ,2012
808287,Ireland,IRL,1980
823828,Ireland,IRL,1981
836863,Ireland,IRL,1982
847825,Ireland,IRL,1983
855070,Ireland,IRL,1984
856344,Ireland,IRL,1985
851334,Ireland,IRL,1986
841643,Ireland,IRL,1987
832733,Ireland,IRL,1988
825052,Ireland,IRL,1989
817899,Ireland,IRL,1990
817599,Ireland,IRL,1991
822541,Ireland,IRL,1992
828488,Ireland,IRL,1993
833873,Ireland,IRL,1994
837045,Ireland,IRL,1995
835822,Ireland,IRL,1996
830063,Ireland,IRL,1997
821895,Ireland,IRL,1998
811688,Ireland,IRL,1999
797618,Ireland,IRL,2000
785156,Ireland,IRL,2001
774275,Ireland,IRL,2002
764167,Ireland,IRL,2003
760320,Ireland,IRL,2004
767091,Ireland,IRL,2005
790316,Ireland,IRL,2006
817333,Ireland,IRL,2007
832745,Ireland,IRL,2008
838266,Ireland,IRL,2009
849563,Ireland,IRL,2010
859813,Ireland,IRL,2011
868872,Ireland,IRL,2012
824357,Israel,ISR,1980
835598,Israel,ISR,1981
847276,Israel,ISR,1982
857243,Israel,ISR,1983
866885,Israel,ISR,1984
875180,Israel,ISR,1985
881742,Israel,ISR,1986
884837,Israel,ISR,1987
890429,Israel,ISR,1988
902368,Israel,ISR,1989
917165,Israel,ISR,1990
937121,Israel,ISR,1991
961323,Israel,ISR,1992
990170,Israel,ISR,1993
1017804,Israel,ISR,1994
1040952,Israel,ISR,1995
1059797,Israel,ISR,1996
1070277,Israel,ISR,1997
1074406,Israel,ISR,1998
1073864,Israel,ISR,1999
1053877,Israel,ISR,2000
1034313,Israel,ISR,2001
1016281,Israel,ISR,2002
1001763,Israel,ISR,2003
997843,Israel,ISR,2004
997517,Israel,ISR,2005
1002286,Israel,ISR,2006
1009833,Israel,ISR,2007
1019551,Israel,ISR,2008
1032078,Israel,ISR,2009
1049044,Israel,ISR,2010
1062629,Israel,ISR,2011
1073768,Israel,ISR,2012
13851670,Italy,ITA,1980
13993964,Italy,ITA,1981
14007427,Italy,ITA,1982
13996183,Italy,ITA,1983
13956424,Italy,ITA,1984
13900456,Italy,ITA,1985
13856489,Italy,ITA,1986
13850692,Italy,ITA,1987
13862257,Italy,ITA,1988
13866043,Italy,ITA,1989
13804637,Italy,ITA,1990
13594920,Italy,ITA,1991
13372748,Italy,ITA,1992
13121678,Italy,ITA,1993
12854833,Italy,ITA,1994
12577003,Italy,ITA,1995
12247409,Italy,ITA,1996
11931368,Italy,ITA,1997
11691063,Italy,ITA,1998
11533946,Italy,ITA,1999
11445640,Italy,ITA,2000
11418642,Italy,ITA,2001
11385408,Italy,ITA,2002
11366144,Italy,ITA,2003
11360428,Italy,ITA,2004
11311751,Italy,ITA,2005
11265664,Italy,ITA,2006
11283812,Italy,ITA,2007
11359546,Italy,ITA,2008
11486787,Italy,ITA,2009
11548631,Italy,ITA,2010
11602426,Italy,ITA,2011
11659468,Italy,ITA,2012
190595,Jamaica,JAM,1980
196392,Jamaica,JAM,1981
201835,Jamaica,JAM,1982
206919,Jamaica,JAM,1983
211787,Jamaica,JAM,1984
216469,Jamaica,JAM,1985
220820,Jamaica,JAM,1986
224874,Jamaica,JAM,1987
228921,Jamaica,JAM,1988
232936,Jamaica,JAM,1989
236905,Jamaica,JAM,1990
240977,Jamaica,JAM,1991
245535,Jamaica,JAM,1992
250169,Jamaica,JAM,1993
254808,Jamaica,JAM,1994
259237,Jamaica,JAM,1995
263635,Jamaica,JAM,1996
265595,Jamaica,JAM,1997
267715,Jamaica,JAM,1998
269899,Jamaica,JAM,1999
272223,Jamaica,JAM,2000
272738,Jamaica,JAM,2001
273101,Jamaica,JAM,2002
273510,Jamaica,JAM,2003
273909,Jamaica,JAM,2004
274307,Jamaica,JAM,2005
274729,Jamaica,JAM,2006
275387,Jamaica,JAM,2007
276860,Jamaica,JAM,2008
280038,Jamaica,JAM,2009
283940,Jamaica,JAM,2010
288520,Jamaica,JAM,2011
293371,Jamaica,JAM,2012
32604675,Japan,JPN,1980
32881547,Japan,JPN,1981
33034692,Japan,JPN,1982
33058594,Japan,JPN,1983
32973653,Japan,JPN,1984
32780073,Japan,JPN,1985
32535135,Japan,JPN,1986
32300525,Japan,JPN,1987
32076845,Japan,JPN,1988
31912515,Japan,JPN,1989
31788630,Japan,JPN,1990
31744940,Japan,JPN,1991
31769622,Japan,JPN,1992
31898008,Japan,JPN,1993
32146831,Japan,JPN,1994
32410758,Japan,JPN,1995
32566293,Japan,JPN,1996
32585577,Japan,JPN,1997
32517742,Japan,JPN,1998
32308596,Japan,JPN,1999
31892212,Japan,JPN,2000
31424426,Japan,JPN,2001
30879089,Japan,JPN,2002
30197949,Japan,JPN,2003
29320089,Japan,JPN,2004
28324362,Japan,JPN,2005
27321613,Japan,JPN,2006
26385884,Japan,JPN,2007
25458946,Japan,JPN,2008
24679031,Japan,JPN,2009
24043328,Japan,JPN,2010
23613298,Japan,JPN,2011
23340781,Japan,JPN,2012
340082,Jordan,JOR,1980
345571,Jordan,JOR,1981
355721,Jordan,JOR,1982
369695,Jordan,JOR,1983
383350,Jordan,JOR,1984
395722,Jordan,JOR,1985
404283,Jordan,JOR,1986
411187,Jordan,JOR,1987
420609,Jordan,JOR,1988
438589,Jordan,JOR,1989
466896,Jordan,JOR,1990
507773,Jordan,JOR,1991
555922,Jordan,JOR,1992
607269,Jordan,JOR,1993
653845,Jordan,JOR,1994
690005,Jordan,JOR,1995
715497,Jordan,JOR,1996
730527,Jordan,JOR,1997
739361,Jordan,JOR,1998
746011,Jordan,JOR,1999
754351,Jordan,JOR,2000
763991,Jordan,JOR,2001
774338,Jordan,JOR,2002
786644,Jordan,JOR,2003
804496,Jordan,JOR,2004
829977,Jordan,JOR,2005
864788,Jordan,JOR,2006
908328,Jordan,JOR,2007
960498,Jordan,JOR,2008
1017355,Jordan,JOR,2009
1074351,Jordan,JOR,2010
1133394,Jordan,JOR,2011
1193396,Jordan,JOR,2012
1942387,Kazakhstan,KAZ,1980
1980257,Kazakhstan,KAZ,1981
2019165,Kazakhstan,KAZ,1982
2058332,Kazakhstan,KAZ,1983
2097651,Kazakhstan,KAZ,1984
2137789,Kazakhstan,KAZ,1985
2180607,Kazakhstan,KAZ,1986
2223173,Kazakhstan,KAZ,1987
2263374,Kazakhstan,KAZ,1988
2297308,Kazakhstan,KAZ,1989
2319204,Kazakhstan,KAZ,1990
2324239,Kazakhstan,KAZ,1991
2316412,Kazakhstan,KAZ,1992
2295022,Kazakhstan,KAZ,1993
2259664,Kazakhstan,KAZ,1994
2211099,Kazakhstan,KAZ,1995
2153301,Kazakhstan,KAZ,1996
2045647,Kazakhstan,KAZ,1997
1984048,Kazakhstan,KAZ,1998
1967699,Kazakhstan,KAZ,1999
1992744,Kazakhstan,KAZ,2000
2039571,Kazakhstan,KAZ,2001
2103249,Kazakhstan,KAZ,2002
2180291,Kazakhstan,KAZ,2003
2275437,Kazakhstan,KAZ,2004
2381006,Kazakhstan,KAZ,2005
2489771,Kazakhstan,KAZ,2006
2597881,Kazakhstan,KAZ,2007
2698096,Kazakhstan,KAZ,2008
2787315,Kazakhstan,KAZ,2009
2868079,Kazakhstan,KAZ,2010
2916541,Kazakhstan,KAZ,2011
2955061,Kazakhstan,KAZ,2012
902917,Kenya,KEN,1980
935574,Kenya,KEN,1981
970096,Kenya,KEN,1982
1005861,Kenya,KEN,1983
1042887,Kenya,KEN,1984
1081628,Kenya,KEN,1985
1122848,Kenya,KEN,1986
1165992,Kenya,KEN,1987
1212295,Kenya,KEN,1988
1262601,Kenya,KEN,1989
1317413,Kenya,KEN,1990
1377209,Kenya,KEN,1991
1441133,Kenya,KEN,1992
1508661,Kenya,KEN,1993
1577976,Kenya,KEN,1994
1647283,Kenya,KEN,1995
1715371,Kenya,KEN,1996
1761772,Kenya,KEN,1997
1808917,Kenya,KEN,1998
1857586,Kenya,KEN,1999
1906676,Kenya,KEN,2000
1953986,Kenya,KEN,2001
1995560,Kenya,KEN,2002
2030666,Kenya,KEN,2003
2032718,Kenya,KEN,2004
2042805,Kenya,KEN,2005
2054662,Kenya,KEN,2006
2070140,Kenya,KEN,2007
2092994,Kenya,KEN,2008
2126682,Kenya,KEN,2009
2194511,Kenya,KEN,2010
2274466,Kenya,KEN,2011
2366606,Kenya,KEN,2012
15207,Kiribati,KIR,1980
15687,Kiribati,KIR,1981
16188,Kiribati,KIR,1982
16704,Kiribati,KIR,1983
17233,Kiribati,KIR,1984
17779,Kiribati,KIR,1985
18350,Kiribati,KIR,1986
18926,Kiribati,KIR,1987
19515,Kiribati,KIR,1988
20060,Kiribati,KIR,1989
20561,Kiribati,KIR,1990
21003,Kiribati,KIR,1991
21384,Kiribati,KIR,1992
21750,Kiribati,KIR,1993
22156,Kiribati,KIR,1994
22628,Kiribati,KIR,1995
23187,Kiribati,KIR,1996
23290,Kiribati,KIR,1997
23570,Kiribati,KIR,1998
24007,Kiribati,KIR,1999
24570,Kiribati,KIR,2000
25194,Kiribati,KIR,2001
25869,Kiribati,KIR,2002
26542,Kiribati,KIR,2003
27122,Kiribati,KIR,2004
27037,Kiribati,KIR,2005
26852,Kiribati,KIR,2006
26600,Kiribati,KIR,2007
26379,Kiribati,KIR,2008
26261,Kiribati,KIR,2009
26746,Kiribati,KIR,2010
27344,Kiribati,KIR,2011
28010,Kiribati,KIR,2012
266881,Kuwait,KWT,1980
275330,Kuwait,KWT,1981
281016,Kuwait,KWT,1982
285646,Kuwait,KWT,1983
288710,Kuwait,KWT,1984
288521,Kuwait,KWT,1985
286115,Kuwait,KWT,1986
282060,Kuwait,KWT,1987
276024,Kuwait,KWT,1988
271895,Kuwait,KWT,1989
265692,Kuwait,KWT,1990
261070,Kuwait,KWT,1991
259298,Kuwait,KWT,1992
261184,Kuwait,KWT,1993
264683,Kuwait,KWT,1994
270444,Kuwait,KWT,1995
278654,Kuwait,KWT,1996
288407,Kuwait,KWT,1997
299930,Kuwait,KWT,1998
311249,Kuwait,KWT,1999
322694,Kuwait,KWT,2000
333089,Kuwait,KWT,2001
343264,Kuwait,KWT,2002
356010,Kuwait,KWT,2003
372145,Kuwait,KWT,2004
392891,Kuwait,KWT,2005
418233,Kuwait,KWT,2006
447159,Kuwait,KWT,2007
478596,Kuwait,KWT,2008
508687,Kuwait,KWT,2009
